colour	x	y	key	showSelectedlegendsizecolour	PANEL
#000000	45.5	0.405717690577209	45.5	LOPART	2
#000000	46.5	0.39678677344646	46.5	LOPART	2
#000000	47.5	0.400600981760434	47.5	LOPART	2
#000000	48.5	0.401754680618961	48.5	LOPART	2
#000000	49.5	0.402699332130149	49.5	LOPART	2
#000000	50.5	0.405492611138538	50.5	LOPART	2
#000000	51.5	0.405111328350188	51.5	LOPART	2
#000000	52.5	0.39662637999259	52.5	LOPART	2
#000000	53.5	0.395266883673191	53.5	LOPART	2
#000000	54.5	0.385817223467652	54.5	LOPART	2
#000000	55.5	0.377221515362589	55.5	LOPART	2
#000000	56.5	0.376612882244394	56.5	LOPART	2
#000000	57.5	0.373891513669917	57.5	LOPART	2
#000000	58.5	0.360967967524517	58.5	LOPART	2
#000000	59.5	0.344921321519336	59.5	LOPART	2
#000000	60.5	0.320634737017246	60.5	LOPART	2
#000000	61.5	0.320639072393202	61.5	LOPART	2
#000000	62.5	0.289045493538545	62.5	LOPART	2
#000000	63.5	0.286240419792953	63.5	LOPART	2
#000000	64.5	0.277028626264278	64.5	LOPART	2
#000000	65.5	0.263573205097401	65.5	LOPART	2
#000000	66.5	0.26035508912986	66.5	LOPART	2
#000000	67.5	0.260369917645736	67.5	LOPART	2
#000000	68.5	0.25468766086443	68.5	LOPART	2
#000000	69.5	0.243557393035267	69.5	LOPART	2
#000000	70.5	0.23959433945936	70.5	LOPART	2
#000000	71.5	0.235409388041857	71.5	LOPART	2
#000000	72.5	0.219087365566534	72.5	LOPART	2
#000000	73.5	0.20670465809269	73.5	LOPART	2
#000000	74.5	0.185743701626373	74.5	LOPART	2
#000000	75.5	0.169091265069913	75.5	LOPART	2
#000000	76.5	0.166653123082369	76.5	LOPART	2
#000000	77.5	0.163721556789196	77.5	LOPART	2
#000000	78.5	0.162714446210575	78.5	LOPART	2
#000000	79.5	0.160438719579852	79.5	LOPART	2
#000000	90.5	0.156293107395279	90.5	LOPART	2
#000000	91.5	0.153631852023746	91.5	LOPART	2
#000000	92.5	0.144598415527855	92.5	LOPART	2
