xmin	xmax	clickSelects	group
-2.5	-1.5	0.01	-1
-2.5	-1.5	0.01	-1
-1.5	-0.5	0.1	-1
-1.5	-0.5	0.1	-1
-0.5	0.5	1	-1
-0.5	0.5	1	-1
0.5	1.5	10	-1
0.5	1.5	10	-1
1.5	2.5	100	-1
1.5	2.5	100	-1
2.5	3.5	1000	-1
2.5	3.5	1000	-1
