colour	x	y	key	showSelectedlegendsizecolour	PANEL
#00BFFF	0.5	1	0.5	OPART	2
#00BFFF	1.5	0.995825669985935	1.5	OPART	2
#00BFFF	2.5	0.98223361349639	2.5	OPART	2
#00BFFF	3.5	0.948470761254521	3.5	OPART	2
#00BFFF	4.5	0.945160747327777	4.5	OPART	2
#00BFFF	5.5	0.933472553093915	5.5	OPART	2
#00BFFF	6.5	0.919055167604568	6.5	OPART	2
#00BFFF	7.5	0.897205919280096	7.5	OPART	2
#00BFFF	8.5	0.886190768773069	8.5	OPART	2
#00BFFF	9.5	0.841818354391475	9.5	OPART	2
#00BFFF	10.5	0.828941347004074	10.5	OPART	2
#00BFFF	11.5	0.809049286764829	11.5	OPART	2
#00BFFF	12.5	0.78040275452556	12.5	OPART	2
#00BFFF	13.5	0.769014426341799	13.5	OPART	2
#00BFFF	14.5	0.763018541359167	14.5	OPART	2
#00BFFF	15.5	0.718399955467298	15.5	OPART	2
#00BFFF	16.5	0.71808474783591	16.5	OPART	2
#00BFFF	17.5	0.688545402754113	17.5	OPART	2
#00BFFF	18.5	0.670444910460503	18.5	OPART	2
#00BFFF	19.5	0.63723557052087	19.5	OPART	2
#00BFFF	20.5	0.612448061950416	20.5	OPART	2
#00BFFF	21.5	0.556086503678789	21.5	OPART	2
#00BFFF	22.5	0.548699980562121	22.5	OPART	2
#00BFFF	23.5	0.500986959760023	23.5	OPART	2
#00BFFF	24.5	0.443956329402021	24.5	OPART	2
#00BFFF	25.5	0.421276669134981	25.5	OPART	2
#00BFFF	26.5	0.41111772877598	26.5	OPART	2
#00BFFF	27.5	0.410196040446816	27.5	OPART	2
#00BFFF	28.5	0.410154899061367	28.5	OPART	2
#00BFFF	29.5	0.407995019567669	29.5	OPART	2
#00BFFF	30.5	0.407536656639115	30.5	OPART	2
#00BFFF	31.5	0.405401661988151	31.5	OPART	2
#00BFFF	32.5	0.404723425940595	32.5	OPART	2
#00BFFF	33.5	0.400787375895615	33.5	OPART	2
#00BFFF	34.5	0.401000091274452	34.5	OPART	2
#00BFFF	35.5	0.400763450047125	35.5	OPART	2
#00BFFF	36.5	0.400625801459804	36.5	OPART	2
#00BFFF	37.5	0.396438455758214	37.5	OPART	2
#00BFFF	38.5	0.395817061623131	38.5	OPART	2
#00BFFF	39.5	0.395766154500823	39.5	OPART	2
#00BFFF	40.5	0.395958964790102	40.5	OPART	2
#00BFFF	41.5	0.395930869063858	41.5	OPART	2
#00BFFF	42.5	0.389849853128243	42.5	OPART	2
#00BFFF	43.5	0.389255066314713	43.5	OPART	2
#00BFFF	44.5	0.379514761869429	44.5	OPART	2
#00BFFF	45.5	0.377993963703275	45.5	OPART	2
#00BFFF	46.5	0.366810008589356	46.5	OPART	2
#00BFFF	47.5	0.367024441513585	47.5	OPART	2
#00BFFF	48.5	0.366946440552808	48.5	OPART	2
#00BFFF	49.5	0.366895364798227	49.5	OPART	2
#00BFFF	50.5	0.365483525147742	50.5	OPART	2
#00BFFF	51.5	0.365185563591815	51.5	OPART	2
#00BFFF	52.5	0.339881899835953	52.5	OPART	2
#00BFFF	53.5	0.338498332757271	53.5	OPART	2
#00BFFF	54.5	0.322474537071019	54.5	OPART	2
#00BFFF	55.5	0.322234824426047	55.5	OPART	2
#00BFFF	56.5	0.321995954748984	56.5	OPART	2
#00BFFF	57.5	0.319135723701037	57.5	OPART	2
#00BFFF	58.5	0.305831530838165	58.5	OPART	2
#00BFFF	59.5	0.289200458952811	59.5	OPART	2
#00BFFF	60.5	0.264460310762209	60.5	OPART	2
#00BFFF	61.5	0.264675948012985	61.5	OPART	2
#00BFFF	62.5	0.232592777512537	62.5	OPART	2
#00BFFF	63.5	0.229633212035685	63.5	OPART	2
#00BFFF	64.5	0.220072260849107	64.5	OPART	2
#00BFFF	65.5	0.206118400339522	65.5	OPART	2
#00BFFF	66.5	0.202717992906145	66.5	OPART	2
#00BFFF	67.5	0.202890989743707	67.5	OPART	2
#00BFFF	68.5	0.196906982975628	68.5	OPART	2
#00BFFF	69.5	0.185344913074068	69.5	OPART	2
#00BFFF	70.5	0.181138158315225	70.5	OPART	2
#00BFFF	71.5	0.176499908699437	71.5	OPART	2
#00BFFF	72.5	0.15965888902035	72.5	OPART	2
#00BFFF	73.5	0.146826527576288	73.5	OPART	2
#00BFFF	74.5	0.125335226063436	74.5	OPART	2
#00BFFF	75.5	0.108149079832107	75.5	OPART	2
#00BFFF	76.5	0.106312290131563	76.5	OPART	2
#00BFFF	77.5	0.103188674819746	77.5	OPART	2
#00BFFF	78.5	0.102120821067106	78.5	OPART	2
#00BFFF	79.5	0.0995418899531906	79.5	OPART	2
#00BFFF	80.5	0.0957570212723763	80.5	OPART	2
#00BFFF	81.5	0.0936628087705853	81.5	OPART	2
#00BFFF	82.5	0.0877550156218337	82.5	OPART	2
#00BFFF	83.5	0.0871492832453828	83.5	OPART	2
#00BFFF	84.5	0.0821410866357046	84.5	OPART	2
#00BFFF	85.5	0.067756756001817	85.5	OPART	2
#00BFFF	86.5	0.0195250566168929	86.5	OPART	2
#00BFFF	87.5	0.0187663074862692	87.5	OPART	2
#00BFFF	88.5	0.0186052109531194	88.5	OPART	2
#00BFFF	89.5	0.017940750524379	89.5	OPART	2
#00BFFF	90.5	0.0180862710390997	90.5	OPART	2
#00BFFF	91.5	0.012535157151705	91.5	OPART	2
#00BFFF	92.5	0	92.5	OPART	2
#00BFFF	93.5	0.000182864878163795	93.5	OPART	2
