colour	x	y	key	showSelectedlegendsizecolour	PANEL
#00BFFF	0.5	1	0.5	OPART	2
#00BFFF	1.5	0.998102294434537	1.5	OPART	2
#00BFFF	2.5	0.984596400056302	2.5	OPART	2
#00BFFF	3.5	0.941125536837946	3.5	OPART	2
#00BFFF	4.5	0.940070200222458	4.5	OPART	2
#00BFFF	5.5	0.929227819157327	5.5	OPART	2
#00BFFF	6.5	0.914627542521258	6.5	OPART	2
#00BFFF	7.5	0.889473813542263	7.5	OPART	2
#00BFFF	8.5	0.879578689301874	8.5	OPART	2
#00BFFF	9.5	0.819657416154059	9.5	OPART	2
#00BFFF	10.5	0.807243679835142	10.5	OPART	2
#00BFFF	11.5	0.784950703020646	11.5	OPART	2
#00BFFF	12.5	0.749555160019613	12.5	OPART	2
#00BFFF	13.5	0.73912844860094	13.5	OPART	2
#00BFFF	14.5	0.735403676289892	14.5	OPART	2
#00BFFF	15.5	0.675105246383869	15.5	OPART	2
#00BFFF	16.5	0.67536266760565	16.5	OPART	2
#00BFFF	17.5	0.638765988006772	17.5	OPART	2
#00BFFF	18.5	0.619118763152031	18.5	OPART	2
#00BFFF	19.5	0.576742798939995	19.5	OPART	2
#00BFFF	20.5	0.547119948313394	20.5	OPART	2
#00BFFF	21.5	0.467449298838233	21.5	OPART	2
#00BFFF	22.5	0.461940557855688	22.5	OPART	2
#00BFFF	23.5	0.39600225877294	23.5	OPART	2
#00BFFF	24.5	0.314460514013481	24.5	OPART	2
#00BFFF	25.5	0.287179405605384	25.5	OPART	2
#00BFFF	26.5	0.254825482938393	26.5	OPART	2
#00BFFF	27.5	0.255217564770678	27.5	OPART	2
#00BFFF	28.5	0.251346086913749	28.5	OPART	2
#00BFFF	29.5	0.251243597413822	29.5	OPART	2
#00BFFF	30.5	0.251561790995792	30.5	OPART	2
#00BFFF	31.5	0.251398036981267	31.5	OPART	2
#00BFFF	32.5	0.251598086890168	32.5	OPART	2
#00BFFF	33.5	0.250290020141796	33.5	OPART	2
#00BFFF	34.5	0.248649650706978	34.5	OPART	2
#00BFFF	35.5	0.242959441866638	35.5	OPART	2
#00BFFF	36.5	0.238349566212679	36.5	OPART	2
#00BFFF	37.5	0.218298332214605	37.5	OPART	2
#00BFFF	38.5	0.20991580451393	38.5	OPART	2
#00BFFF	39.5	0.2046566086234	39.5	OPART	2
#00BFFF	40.5	0.20187677885567	40.5	OPART	2
#00BFFF	41.5	0.197449794874375	41.5	OPART	2
#00BFFF	42.5	0.168855290156866	42.5	OPART	2
#00BFFF	43.5	0.158583636820426	43.5	OPART	2
#00BFFF	44.5	0.153965300820819	44.5	OPART	2
#00BFFF	45.5	0.154276796862496	45.5	OPART	2
#00BFFF	46.5	0.148508080569914	46.5	OPART	2
#00BFFF	47.5	0.144372521894558	47.5	OPART	2
#00BFFF	48.5	0.141338147370065	48.5	OPART	2
#00BFFF	49.5	0.137231449563318	49.5	OPART	2
#00BFFF	50.5	0.120095291469802	50.5	OPART	2
#00BFFF	51.5	0.118050516473472	51.5	OPART	2
#00BFFF	52.5	0.0996313011409056	52.5	OPART	2
#00BFFF	53.5	0.0992678526205545	53.5	OPART	2
#00BFFF	54.5	0.091446687440123	54.5	OPART	2
#00BFFF	55.5	0.0886747343518638	55.5	OPART	2
#00BFFF	56.5	0.0748689980414109	56.5	OPART	2
#00BFFF	57.5	0.0749408805567064	57.5	OPART	2
#00BFFF	58.5	0.0713600577623248	58.5	OPART	2
#00BFFF	59.5	0.0649954688744772	59.5	OPART	2
#00BFFF	60.5	0.0508859484899773	60.5	OPART	2
#00BFFF	61.5	0.0414712504877342	61.5	OPART	2
#00BFFF	62.5	0.0206256975431464	62.5	OPART	2
#00BFFF	63.5	0.0204714687348593	63.5	OPART	2
#00BFFF	64.5	0.0198817063508615	64.5	OPART	2
#00BFFF	65.5	0.0167886424959976	65.5	OPART	2
#00BFFF	66.5	0.0165645349666821	66.5	OPART	2
#00BFFF	67.5	0.00539068389030545	67.5	OPART	2
#00BFFF	68.5	0.00544805669563162	68.5	OPART	2
#00BFFF	69.5	0.00555706999683892	69.5	OPART	2
#00BFFF	70.5	0.00366416995606944	70.5	OPART	2
#00BFFF	71.5	0	71.5	OPART	2
#00BFFF	72.5	0.000214155639845829	72.5	OPART	2
#00BFFF	73.5	0.000321127485998082	73.5	OPART	2
#00BFFF	74.5	0.000197085814341058	74.5	OPART	2
