colour	x	y	key	showSelectedlegendsizecolour	PANEL
#000000	0.5	0	0.5	LOPART	2
#000000	1.5	0.999142790298869	1.5	LOPART	2
#000000	2.5	0.999708681833618	2.5	LOPART	2
#000000	3.5	0.999743339858681	3.5	LOPART	2
#000000	4.5	0.999976026726154	4.5	LOPART	2
#000000	5.5	0.999964138689654	5.5	LOPART	2
#000000	6.5	0.999986759221461	6.5	LOPART	2
#000000	7.5	0.999972097021683	7.5	LOPART	2
#000000	8.5	1	8.5	LOPART	2
#000000	9.5	0.999251401774008	9.5	LOPART	2
#000000	10.5	0.999386198433814	10.5	LOPART	2
#000000	11.5	0.999137876752792	11.5	LOPART	2
#000000	12.5	0.998326585716193	12.5	LOPART	2
#000000	13.5	0.998723935457959	13.5	LOPART	2
#000000	14.5	0.999477585215774	14.5	LOPART	2
#000000	15.5	0.998003108078625	15.5	LOPART	2
#000000	16.5	0.999733878896231	16.5	LOPART	2
#000000	17.5	0.999240924105561	17.5	LOPART	2
#000000	18.5	0.999187128435501	18.5	LOPART	2
#000000	19.5	0.998170311664994	19.5	LOPART	2
