colour	x	y	key	showSelectedlegendsizecolour	PANEL
#000000	45.5	0.211669628578311	45.5	LOPART	2
#000000	46.5	0.208912944171456	46.5	LOPART	2
#000000	47.5	0.211714026285194	47.5	LOPART	2
#000000	48.5	0.211081807755472	48.5	LOPART	2
#000000	49.5	0.209002263448598	49.5	LOPART	2
#000000	50.5	0.200590406869205	50.5	LOPART	2
#000000	51.5	0.198262366308652	51.5	LOPART	2
#000000	52.5	0.209301580028161	52.5	LOPART	2
#000000	53.5	0.208658308998386	53.5	LOPART	2
#000000	54.5	0.211489255661146	54.5	LOPART	2
#000000	55.5	0.193756806786304	55.5	LOPART	2
#000000	56.5	0.180410510088942	56.5	LOPART	2
#000000	57.5	0.180532563002864	57.5	LOPART	2
#000000	58.5	0.176718411086729	58.5	LOPART	2
#000000	59.5	0.169878444643566	59.5	LOPART	2
#000000	60.5	0.154621065518341	60.5	LOPART	2
#000000	61.5	0.146193065841808	61.5	LOPART	2
#000000	62.5	0.123479462541872	62.5	LOPART	2
#000000	63.5	0.123648069169172	63.5	LOPART	2
#000000	64.5	0.12237586802124	64.5	LOPART	2
#000000	65.5	0.117703527138907	65.5	LOPART	2
#000000	66.5	0.118004455477664	66.5	LOPART	2
#000000	67.5	0.109519417848268	67.5	LOPART	2
#000000	68.5	0.109870894626268	68.5	LOPART	2
#000000	69.5	0.109255089384119	69.5	LOPART	2
#000000	70.5	0.108687540031611	70.5	LOPART	2
#000000	71.5	0.105514345229417	71.5	LOPART	2
