colour	x	y	key	showSelectedlegendsizecolour	PANEL
#000000	0.5	0	0.5	LOPART	2
#000000	1.5	0.99839426854471	1.5	LOPART	2
#000000	2.5	0.998930175155283	2.5	LOPART	2
#000000	3.5	1	3.5	LOPART	2
#000000	4.5	0.999198517351529	4.5	LOPART	2
#000000	5.5	0.998924728838426	5.5	LOPART	2
#000000	6.5	0.998846788514763	6.5	LOPART	2
#000000	7.5	0.999260766968068	7.5	LOPART	2
#000000	8.5	0.998824064404183	8.5	LOPART	2
#000000	9.5	0.999873346580923	9.5	LOPART	2
#000000	10.5	0.99969109645878	10.5	LOPART	2
#000000	11.5	0.999729044495832	11.5	LOPART	2
#000000	12.5	0.99993777585889	12.5	LOPART	2
#000000	13.5	0.999680923447189	13.5	LOPART	2
#000000	14.5	0.998677171276082	14.5	LOPART	2
#000000	15.5	0.999684507360338	15.5	LOPART	2
#000000	16.5	0.996990763371243	16.5	LOPART	2
#000000	17.5	0.997564970641353	17.5	LOPART	2
#000000	18.5	0.996811564337234	18.5	LOPART	2
#000000	19.5	0.997537158624829	19.5	LOPART	2
