colour	x	y	key	showSelectedlegendsizecolour	PANEL
#000000	0.5	1	0.5	LOPART	2
#000000	1.5	0.944722536589215	1.5	LOPART	2
#000000	2.5	0.949964082943062	2.5	LOPART	2
#000000	3.5	0.847915389981712	3.5	LOPART	2
#000000	4.5	0.765722406040935	4.5	LOPART	2
#000000	5.5	0.76630207889142	5.5	LOPART	2
#000000	6.5	0.766943640958139	6.5	LOPART	2
#000000	7.5	0.759471850197872	7.5	LOPART	2
#000000	8.5	0.753813803904898	8.5	LOPART	2
#000000	9.5	0.578676980324771	9.5	LOPART	2
#000000	10.5	0.582385905024751	10.5	LOPART	2
#000000	11.5	0.57912884273525	11.5	LOPART	2
#000000	12.5	0.521327240485796	12.5	LOPART	2
#000000	13.5	0.524553382519517	13.5	LOPART	2
#000000	14.5	0.476970070121693	14.5	LOPART	2
#000000	15.5	0.262876878682006	15.5	LOPART	2
#000000	16.5	0	16.5	LOPART	2
