fill	xmin	xmax	showSelectedlegendfill	PANEL	group
#FF7D7D	20	30	1	1	2
#FF7D7D	45	55	1	1	2
#F6C48F	80	90	0	1	1
#FF7D7D	20	30	1	2	2
#FF7D7D	45	55	1	2	2
#F6C48F	80	90	0	2	1
