colour	x	y	key	showSelectedlegendsizecolour	PANEL
#000000	0.5	1	0.5	LOPART	2
#000000	1.5	0.949264364073869	1.5	LOPART	2
#000000	2.5	0.951258106912162	2.5	LOPART	2
#000000	3.5	0.903546208941314	3.5	LOPART	2
#000000	4.5	0.82927095796395	4.5	LOPART	2
#000000	5.5	0.824051677439818	5.5	LOPART	2
#000000	6.5	0.821537383633279	6.5	LOPART	2
#000000	7.5	0.822560644545358	7.5	LOPART	2
#000000	8.5	0.809412065092434	8.5	LOPART	2
#000000	9.5	0.729808046192829	9.5	LOPART	2
#000000	10.5	0.723341699450772	10.5	LOPART	2
#000000	11.5	0.726773805379892	11.5	LOPART	2
#000000	12.5	0.718363808429015	12.5	LOPART	2
#000000	13.5	0.700042676941943	13.5	LOPART	2
#000000	14.5	0.621948394790476	14.5	LOPART	2
#000000	15.5	0.569907002508209	15.5	LOPART	2
#000000	16.5	0.282851576251129	16.5	LOPART	2
#000000	17.5	0.285698771304231	17.5	LOPART	2
#000000	18.5	0.269672517098362	18.5	LOPART	2
#000000	19.5	0.271918967357852	19.5	LOPART	2
