colour	x	y	key	showSelectedlegendsizecolour	PANEL
#000000	45.5	0.0697780929838655	45.5	LOPART	2
#000000	46.5	0.0845524423793583	46.5	LOPART	2
#000000	47.5	0.0811048185105998	47.5	LOPART	2
#000000	48.5	0.079084315383755	48.5	LOPART	2
#000000	49.5	0.0761855935445832	49.5	LOPART	2
#000000	50.5	0.0642512489898765	50.5	LOPART	2
#000000	51.5	0.0638273814566715	51.5	LOPART	2
#000000	52.5	0.0864150008261801	52.5	LOPART	2
#000000	53.5	0.0877595409308012	53.5	LOPART	2
#000000	54.5	0.0990771240182576	54.5	LOPART	2
#000000	55.5	0.103380869359275	55.5	LOPART	2
#000000	56.5	0.11742091476277	56.5	LOPART	2
#000000	57.5	0.117672083429125	57.5	LOPART	2
#000000	58.5	0.111001184330705	58.5	LOPART	2
#000000	59.5	0.0999792767714393	59.5	LOPART	2
#000000	60.5	0.0794070724969911	60.5	LOPART	2
#000000	61.5	0.0965300628800276	61.5	LOPART	2
#000000	62.5	0.0703806297851618	62.5	LOPART	2
#000000	63.5	0.0757143780539619	63.5	LOPART	2
#000000	64.5	0.0695069185817042	64.5	LOPART	2
#000000	65.5	0.0574486988919918	65.5	LOPART	2
#000000	66.5	0.063282633238923	66.5	LOPART	2
#000000	67.5	0.0829147723244426	67.5	LOPART	2
#000000	68.5	0.0829513667694432	68.5	LOPART	2
#000000	69.5	0.0756012147909591	69.5	LOPART	2
#000000	70.5	0.079805741629086	70.5	LOPART	2
#000000	71.5	0.0838123345218103	71.5	LOPART	2
#000000	72.5	0.0702785823645342	72.5	LOPART	2
#000000	73.5	0.0602806447878114	73.5	LOPART	2
#000000	74.5	0.0339501556172004	74.5	LOPART	2
#000000	75.5	0.00757501044275357	75.5	LOPART	2
#000000	76.5	0.0488000047831847	76.5	LOPART	2
#000000	77.5	0.0623014269963121	77.5	LOPART	2
#000000	78.5	0.0633390073970159	78.5	LOPART	2
