x	y	key	label	showSelected1	showSelected2	PANEL	group	anchor
18.5	1	18	tau=18	22	18	1	-1	start
19.5	1	19	tau=19	22	19	1	-1	start
20.5	1	20	tau=20	22	20	1	-1	start
21.5	1	21	tau=21	22	21	1	-1	start
0.5	1	0	tau=0	23	0	1	-1	start
1.5	1	1	tau=1	23	1	1	-1	start
2.5	1	2	tau=2	23	2	1	-1	start
3.5	1	3	tau=3	23	3	1	-1	start
4.5	1	4	tau=4	23	4	1	-1	start
5.5	1	5	tau=5	23	5	1	-1	start
6.5	1	6	tau=6	23	6	1	-1	start
7.5	1	7	tau=7	23	7	1	-1	start
8.5	1	8	tau=8	23	8	1	-1	start
9.5	1	9	tau=9	23	9	1	-1	start
10.5	1	10	tau=10	23	10	1	-1	start
11.5	1	11	tau=11	23	11	1	-1	start
12.5	1	12	tau=12	23	12	1	-1	start
13.5	1	13	tau=13	23	13	1	-1	start
14.5	1	14	tau=14	23	14	1	-1	start
15.5	1	15	tau=15	23	15	1	-1	start
16.5	1	16	tau=16	23	16	1	-1	start
17.5	1	17	tau=17	23	17	1	-1	start
18.5	1	18	tau=18	23	18	1	-1	start
19.5	1	19	tau=19	23	19	1	-1	start
20.5	1	20	tau=20	23	20	1	-1	start
21.5	1	21	tau=21	23	21	1	-1	start
22.5	1	22	tau=22	23	22	1	-1	start
0.5	1	0	tau=0	24	0	1	-1	start
1.5	1	1	tau=1	24	1	1	-1	start
2.5	1	2	tau=2	24	2	1	-1	start
3.5	1	3	tau=3	24	3	1	-1	start
4.5	1	4	tau=4	24	4	1	-1	start
5.5	1	5	tau=5	24	5	1	-1	start
6.5	1	6	tau=6	24	6	1	-1	start
7.5	1	7	tau=7	24	7	1	-1	start
8.5	1	8	tau=8	24	8	1	-1	start
9.5	1	9	tau=9	24	9	1	-1	start
10.5	1	10	tau=10	24	10	1	-1	start
11.5	1	11	tau=11	24	11	1	-1	start
12.5	1	12	tau=12	24	12	1	-1	start
13.5	1	13	tau=13	24	13	1	-1	start
14.5	1	14	tau=14	24	14	1	-1	start
15.5	1	15	tau=15	24	15	1	-1	start
16.5	1	16	tau=16	24	16	1	-1	start
17.5	1	17	tau=17	24	17	1	-1	start
18.5	1	18	tau=18	24	18	1	-1	start
19.5	1	19	tau=19	24	19	1	-1	start
20.5	1	20	tau=20	24	20	1	-1	start
21.5	1	21	tau=21	24	21	1	-1	start
22.5	1	22	tau=22	24	22	1	-1	start
23.5	1	23	tau=23	24	23	1	-1	start
0.5	1	0	tau=0	25	0	1	-1	start
1.5	1	1	tau=1	25	1	1	-1	start
2.5	1	2	tau=2	25	2	1	-1	start
3.5	1	3	tau=3	25	3	1	-1	start
4.5	1	4	tau=4	25	4	1	-1	start
5.5	1	5	tau=5	25	5	1	-1	start
6.5	1	6	tau=6	25	6	1	-1	start
7.5	1	7	tau=7	25	7	1	-1	start
8.5	1	8	tau=8	25	8	1	-1	start
9.5	1	9	tau=9	25	9	1	-1	start
10.5	1	10	tau=10	25	10	1	-1	start
11.5	1	11	tau=11	25	11	1	-1	start
12.5	1	12	tau=12	25	12	1	-1	start
13.5	1	13	tau=13	25	13	1	-1	start
14.5	1	14	tau=14	25	14	1	-1	start
15.5	1	15	tau=15	25	15	1	-1	start
16.5	1	16	tau=16	25	16	1	-1	start
17.5	1	17	tau=17	25	17	1	-1	start
18.5	1	18	tau=18	25	18	1	-1	start
19.5	1	19	tau=19	25	19	1	-1	start
20.5	1	20	tau=20	25	20	1	-1	start
21.5	1	21	tau=21	25	21	1	-1	start
22.5	1	22	tau=22	25	22	1	-1	start
23.5	1	23	tau=23	25	23	1	-1	start
24.5	1	24	tau=24	25	24	1	-1	start
0.5	1	0	tau=0	26	0	1	-1	start
1.5	1	1	tau=1	26	1	1	-1	start
2.5	1	2	tau=2	26	2	1	-1	start
3.5	1	3	tau=3	26	3	1	-1	start
4.5	1	4	tau=4	26	4	1	-1	start
5.5	1	5	tau=5	26	5	1	-1	start
6.5	1	6	tau=6	26	6	1	-1	start
7.5	1	7	tau=7	26	7	1	-1	start
8.5	1	8	tau=8	26	8	1	-1	start
9.5	1	9	tau=9	26	9	1	-1	start
10.5	1	10	tau=10	26	10	1	-1	start
11.5	1	11	tau=11	26	11	1	-1	start
12.5	1	12	tau=12	26	12	1	-1	start
13.5	1	13	tau=13	26	13	1	-1	start
14.5	1	14	tau=14	26	14	1	-1	start
15.5	1	15	tau=15	26	15	1	-1	start
16.5	1	16	tau=16	26	16	1	-1	start
17.5	1	17	tau=17	26	17	1	-1	start
18.5	1	18	tau=18	26	18	1	-1	start
19.5	1	19	tau=19	26	19	1	-1	start
20.5	1	20	tau=20	26	20	1	-1	start
21.5	1	21	tau=21	26	21	1	-1	start
22.5	1	22	tau=22	26	22	1	-1	start
23.5	1	23	tau=23	26	23	1	-1	start
24.5	1	24	tau=24	26	24	1	-1	start
25.5	1	25	tau=25	26	25	1	-1	start
0.5	1	0	tau=0	27	0	1	-1	start
1.5	1	1	tau=1	27	1	1	-1	start
2.5	1	2	tau=2	27	2	1	-1	start
3.5	1	3	tau=3	27	3	1	-1	start
4.5	1	4	tau=4	27	4	1	-1	start
5.5	1	5	tau=5	27	5	1	-1	start
6.5	1	6	tau=6	27	6	1	-1	start
7.5	1	7	tau=7	27	7	1	-1	start
8.5	1	8	tau=8	27	8	1	-1	start
9.5	1	9	tau=9	27	9	1	-1	start
10.5	1	10	tau=10	27	10	1	-1	start
11.5	1	11	tau=11	27	11	1	-1	start
12.5	1	12	tau=12	27	12	1	-1	start
13.5	1	13	tau=13	27	13	1	-1	start
14.5	1	14	tau=14	27	14	1	-1	start
15.5	1	15	tau=15	27	15	1	-1	start
16.5	1	16	tau=16	27	16	1	-1	start
17.5	1	17	tau=17	27	17	1	-1	start
18.5	1	18	tau=18	27	18	1	-1	start
19.5	1	19	tau=19	27	19	1	-1	start
20.5	1	20	tau=20	27	20	1	-1	start
21.5	1	21	tau=21	27	21	1	-1	start
22.5	1	22	tau=22	27	22	1	-1	start
23.5	1	23	tau=23	27	23	1	-1	start
24.5	1	24	tau=24	27	24	1	-1	start
25.5	1	25	tau=25	27	25	1	-1	start
26.5	1	26	tau=26	27	26	1	-1	start
0.5	1	0	tau=0	28	0	1	-1	start
1.5	1	1	tau=1	28	1	1	-1	start
2.5	1	2	tau=2	28	2	1	-1	start
3.5	1	3	tau=3	28	3	1	-1	start
4.5	1	4	tau=4	28	4	1	-1	start
5.5	1	5	tau=5	28	5	1	-1	start
6.5	1	6	tau=6	28	6	1	-1	start
7.5	1	7	tau=7	28	7	1	-1	start
8.5	1	8	tau=8	28	8	1	-1	start
9.5	1	9	tau=9	28	9	1	-1	start
10.5	1	10	tau=10	28	10	1	-1	start
11.5	1	11	tau=11	28	11	1	-1	start
12.5	1	12	tau=12	28	12	1	-1	start
13.5	1	13	tau=13	28	13	1	-1	start
14.5	1	14	tau=14	28	14	1	-1	start
15.5	1	15	tau=15	28	15	1	-1	start
16.5	1	16	tau=16	28	16	1	-1	start
17.5	1	17	tau=17	28	17	1	-1	start
18.5	1	18	tau=18	28	18	1	-1	start
19.5	1	19	tau=19	28	19	1	-1	start
20.5	1	20	tau=20	28	20	1	-1	start
21.5	1	21	tau=21	28	21	1	-1	start
22.5	1	22	tau=22	28	22	1	-1	start
23.5	1	23	tau=23	28	23	1	-1	start
24.5	1	24	tau=24	28	24	1	-1	start
25.5	1	25	tau=25	28	25	1	-1	start
26.5	1	26	tau=26	28	26	1	-1	start
27.5	1	27	tau=27	28	27	1	-1	start
0.5	1	0	tau=0	29	0	1	-1	start
1.5	1	1	tau=1	29	1	1	-1	start
2.5	1	2	tau=2	29	2	1	-1	start
3.5	1	3	tau=3	29	3	1	-1	start
4.5	1	4	tau=4	29	4	1	-1	start
5.5	1	5	tau=5	29	5	1	-1	start
6.5	1	6	tau=6	29	6	1	-1	start
7.5	1	7	tau=7	29	7	1	-1	start
8.5	1	8	tau=8	29	8	1	-1	start
9.5	1	9	tau=9	29	9	1	-1	start
10.5	1	10	tau=10	29	10	1	-1	start
11.5	1	11	tau=11	29	11	1	-1	start
12.5	1	12	tau=12	29	12	1	-1	start
13.5	1	13	tau=13	29	13	1	-1	start
14.5	1	14	tau=14	29	14	1	-1	start
15.5	1	15	tau=15	29	15	1	-1	start
16.5	1	16	tau=16	29	16	1	-1	start
17.5	1	17	tau=17	29	17	1	-1	start
18.5	1	18	tau=18	29	18	1	-1	start
19.5	1	19	tau=19	29	19	1	-1	start
20.5	1	20	tau=20	29	20	1	-1	start
21.5	1	21	tau=21	29	21	1	-1	start
22.5	1	22	tau=22	29	22	1	-1	start
23.5	1	23	tau=23	29	23	1	-1	start
24.5	1	24	tau=24	29	24	1	-1	start
25.5	1	25	tau=25	29	25	1	-1	start
26.5	1	26	tau=26	29	26	1	-1	start
27.5	1	27	tau=27	29	27	1	-1	start
28.5	1	28	tau=28	29	28	1	-1	start
0.5	1	0	tau=0	30	0	1	-1	start
1.5	1	1	tau=1	30	1	1	-1	start
2.5	1	2	tau=2	30	2	1	-1	start
3.5	1	3	tau=3	30	3	1	-1	start
4.5	1	4	tau=4	30	4	1	-1	start
5.5	1	5	tau=5	30	5	1	-1	start
6.5	1	6	tau=6	30	6	1	-1	start
7.5	1	7	tau=7	30	7	1	-1	start
8.5	1	8	tau=8	30	8	1	-1	start
9.5	1	9	tau=9	30	9	1	-1	start
10.5	1	10	tau=10	30	10	1	-1	start
11.5	1	11	tau=11	30	11	1	-1	start
12.5	1	12	tau=12	30	12	1	-1	start
13.5	1	13	tau=13	30	13	1	-1	start
14.5	1	14	tau=14	30	14	1	-1	start
15.5	1	15	tau=15	30	15	1	-1	start
16.5	1	16	tau=16	30	16	1	-1	start
17.5	1	17	tau=17	30	17	1	-1	start
18.5	1	18	tau=18	30	18	1	-1	start
19.5	1	19	tau=19	30	19	1	-1	start
20.5	1	20	tau=20	30	20	1	-1	start
21.5	1	21	tau=21	30	21	1	-1	start
22.5	1	22	tau=22	30	22	1	-1	start
23.5	1	23	tau=23	30	23	1	-1	start
24.5	1	24	tau=24	30	24	1	-1	start
25.5	1	25	tau=25	30	25	1	-1	start
26.5	1	26	tau=26	30	26	1	-1	start
27.5	1	27	tau=27	30	27	1	-1	start
28.5	1	28	tau=28	30	28	1	-1	start
29.5	1	29	tau=29	30	29	1	-1	start
0.5	1	0	tau=0	31	0	1	-1	start
1.5	1	1	tau=1	31	1	1	-1	start
2.5	1	2	tau=2	31	2	1	-1	start
3.5	1	3	tau=3	31	3	1	-1	start
4.5	1	4	tau=4	31	4	1	-1	start
5.5	1	5	tau=5	31	5	1	-1	start
6.5	1	6	tau=6	31	6	1	-1	start
7.5	1	7	tau=7	31	7	1	-1	start
8.5	1	8	tau=8	31	8	1	-1	start
9.5	1	9	tau=9	31	9	1	-1	start
10.5	1	10	tau=10	31	10	1	-1	start
11.5	1	11	tau=11	31	11	1	-1	start
12.5	1	12	tau=12	31	12	1	-1	start
13.5	1	13	tau=13	31	13	1	-1	start
14.5	1	14	tau=14	31	14	1	-1	start
15.5	1	15	tau=15	31	15	1	-1	start
16.5	1	16	tau=16	31	16	1	-1	start
17.5	1	17	tau=17	31	17	1	-1	start
18.5	1	18	tau=18	31	18	1	-1	start
19.5	1	19	tau=19	31	19	1	-1	start
20.5	1	20	tau=20	31	20	1	-1	start
21.5	1	21	tau=21	31	21	1	-1	start
22.5	1	22	tau=22	31	22	1	-1	start
23.5	1	23	tau=23	31	23	1	-1	start
24.5	1	24	tau=24	31	24	1	-1	start
25.5	1	25	tau=25	31	25	1	-1	start
26.5	1	26	tau=26	31	26	1	-1	start
27.5	1	27	tau=27	31	27	1	-1	start
28.5	1	28	tau=28	31	28	1	-1	start
29.5	1	29	tau=29	31	29	1	-1	start
30.5	1	30	tau=30	31	30	1	-1	start
0.5	1	0	tau=0	32	0	1	-1	start
1.5	1	1	tau=1	32	1	1	-1	start
2.5	1	2	tau=2	32	2	1	-1	start
3.5	1	3	tau=3	32	3	1	-1	start
4.5	1	4	tau=4	32	4	1	-1	start
5.5	1	5	tau=5	32	5	1	-1	start
6.5	1	6	tau=6	32	6	1	-1	start
7.5	1	7	tau=7	32	7	1	-1	start
8.5	1	8	tau=8	32	8	1	-1	start
9.5	1	9	tau=9	32	9	1	-1	start
10.5	1	10	tau=10	32	10	1	-1	start
11.5	1	11	tau=11	32	11	1	-1	start
12.5	1	12	tau=12	32	12	1	-1	start
13.5	1	13	tau=13	32	13	1	-1	start
14.5	1	14	tau=14	32	14	1	-1	start
15.5	1	15	tau=15	32	15	1	-1	start
16.5	1	16	tau=16	32	16	1	-1	start
17.5	1	17	tau=17	32	17	1	-1	start
18.5	1	18	tau=18	32	18	1	-1	start
19.5	1	19	tau=19	32	19	1	-1	start
20.5	1	20	tau=20	32	20	1	-1	start
21.5	1	21	tau=21	32	21	1	-1	start
22.5	1	22	tau=22	32	22	1	-1	start
23.5	1	23	tau=23	32	23	1	-1	start
24.5	1	24	tau=24	32	24	1	-1	start
25.5	1	25	tau=25	32	25	1	-1	start
26.5	1	26	tau=26	32	26	1	-1	start
27.5	1	27	tau=27	32	27	1	-1	start
28.5	1	28	tau=28	32	28	1	-1	start
29.5	1	29	tau=29	32	29	1	-1	start
30.5	1	30	tau=30	32	30	1	-1	start
31.5	1	31	tau=31	32	31	1	-1	start
0.5	1	0	tau=0	33	0	1	-1	start
1.5	1	1	tau=1	33	1	1	-1	start
2.5	1	2	tau=2	33	2	1	-1	start
3.5	1	3	tau=3	33	3	1	-1	start
4.5	1	4	tau=4	33	4	1	-1	start
5.5	1	5	tau=5	33	5	1	-1	start
6.5	1	6	tau=6	33	6	1	-1	start
7.5	1	7	tau=7	33	7	1	-1	start
8.5	1	8	tau=8	33	8	1	-1	start
9.5	1	9	tau=9	33	9	1	-1	start
10.5	1	10	tau=10	33	10	1	-1	start
11.5	1	11	tau=11	33	11	1	-1	start
12.5	1	12	tau=12	33	12	1	-1	start
13.5	1	13	tau=13	33	13	1	-1	start
14.5	1	14	tau=14	33	14	1	-1	start
15.5	1	15	tau=15	33	15	1	-1	start
16.5	1	16	tau=16	33	16	1	-1	start
17.5	1	17	tau=17	33	17	1	-1	start
18.5	1	18	tau=18	33	18	1	-1	start
19.5	1	19	tau=19	33	19	1	-1	start
20.5	1	20	tau=20	33	20	1	-1	start
21.5	1	21	tau=21	33	21	1	-1	start
22.5	1	22	tau=22	33	22	1	-1	start
23.5	1	23	tau=23	33	23	1	-1	start
24.5	1	24	tau=24	33	24	1	-1	start
25.5	1	25	tau=25	33	25	1	-1	start
26.5	1	26	tau=26	33	26	1	-1	start
27.5	1	27	tau=27	33	27	1	-1	start
28.5	1	28	tau=28	33	28	1	-1	start
29.5	1	29	tau=29	33	29	1	-1	start
30.5	1	30	tau=30	33	30	1	-1	start
31.5	1	31	tau=31	33	31	1	-1	start
32.5	1	32	tau=32	33	32	1	-1	start
0.5	1	0	tau=0	34	0	1	-1	start
1.5	1	1	tau=1	34	1	1	-1	start
2.5	1	2	tau=2	34	2	1	-1	start
3.5	1	3	tau=3	34	3	1	-1	start
4.5	1	4	tau=4	34	4	1	-1	start
5.5	1	5	tau=5	34	5	1	-1	start
6.5	1	6	tau=6	34	6	1	-1	start
7.5	1	7	tau=7	34	7	1	-1	start
8.5	1	8	tau=8	34	8	1	-1	start
9.5	1	9	tau=9	34	9	1	-1	start
10.5	1	10	tau=10	34	10	1	-1	start
11.5	1	11	tau=11	34	11	1	-1	start
12.5	1	12	tau=12	34	12	1	-1	start
13.5	1	13	tau=13	34	13	1	-1	start
14.5	1	14	tau=14	34	14	1	-1	start
15.5	1	15	tau=15	34	15	1	-1	start
16.5	1	16	tau=16	34	16	1	-1	start
17.5	1	17	tau=17	34	17	1	-1	start
