colour	x	y	key	showSelectedlegendsizecolour	PANEL
#00BFFF	0.5	0.301647984687093	0.5	OPART	2
#00BFFF	1.5	1	1.5	OPART	2
#00BFFF	2.5	0.988956605266373	2.5	OPART	2
#00BFFF	3.5	0.946727616435655	3.5	OPART	2
#00BFFF	4.5	0.956918703860149	4.5	OPART	2
#00BFFF	5.5	0.944847543761893	5.5	OPART	2
#00BFFF	6.5	0.928004821703512	6.5	OPART	2
#00BFFF	7.5	0.897878507257665	7.5	OPART	2
#00BFFF	8.5	0.886941855341369	8.5	OPART	2
#00BFFF	9.5	0.821273264406094	9.5	OPART	2
#00BFFF	10.5	0.806035691432001	10.5	OPART	2
#00BFFF	11.5	0.774574328399866	11.5	OPART	2
#00BFFF	12.5	0.724681032659908	12.5	OPART	2
#00BFFF	13.5	0.712892388640198	13.5	OPART	2
#00BFFF	14.5	0.718534362609069	14.5	OPART	2
#00BFFF	15.5	0.63809250004653	15.5	OPART	2
#00BFFF	16.5	0.680731124495152	16.5	OPART	2
#00BFFF	17.5	0.624298594395689	17.5	OPART	2
#00BFFF	18.5	0.590867783589494	18.5	OPART	2
#00BFFF	19.5	0.521303465120702	19.5	OPART	2
#00BFFF	20.5	0.466761401883858	20.5	OPART	2
#00BFFF	21.5	0.342036324162442	21.5	OPART	2
#00BFFF	22.5	0.342161845573739	22.5	OPART	2
#00BFFF	23.5	0.221698034731586	23.5	OPART	2
#00BFFF	24.5	0.0699975155166321	24.5	OPART	2
#00BFFF	25.5	0	25.5	OPART	2
#00BFFF	26.5	0.189567162745022	26.5	OPART	2
#00BFFF	27.5	0.233486315449671	27.5	OPART	2
#00BFFF	28.5	0.320063801096376	28.5	OPART	2
#00BFFF	29.5	0.343051842833586	29.5	OPART	2
#00BFFF	30.5	0.38424106620053	30.5	OPART	2
#00BFFF	31.5	0.403838752747912	31.5	OPART	2
#00BFFF	32.5	0.438119960251191	32.5	OPART	2
#00BFFF	33.5	0.438071113853944	33.5	OPART	2
#00BFFF	34.5	0.492118719780466	34.5	OPART	2
#00BFFF	35.5	0.562772972116761	35.5	OPART	2
#00BFFF	36.5	0.622424888038755	36.5	OPART	2
#00BFFF	37.5	0.699147436963218	37.5	OPART	2
#00BFFF	38.5	0.699141334533975	38.5	OPART	2
#00BFFF	39.5	0.698647954802609	39.5	OPART	2
#00BFFF	40.5	0.698589732555862	40.5	OPART	2
#00BFFF	41.5	0.69808485219705	41.5	OPART	2
#00BFFF	42.5	0.682840828664892	42.5	OPART	2
#00BFFF	43.5	0.663481267953196	43.5	OPART	2
#00BFFF	44.5	0.693630552620897	44.5	OPART	2
