colour	x	y	key	showSelectedlegendsizecolour	PANEL
#000000	45.5	0.648587689428211	45.5	LOPART	2
#000000	46.5	0.649716115205547	46.5	LOPART	2
#000000	47.5	0.649353386975649	47.5	LOPART	2
#000000	48.5	0.649101710381493	48.5	LOPART	2
#000000	49.5	0.64876545970799	49.5	LOPART	2
#000000	50.5	0.647645989977997	50.5	LOPART	2
#000000	51.5	0.647488077954406	51.5	LOPART	2
#000000	52.5	0.649390953641768	52.5	LOPART	2
#000000	53.5	0.649418003280516	53.5	LOPART	2
#000000	54.5	0.650497494092455	54.5	LOPART	2
#000000	55.5	0.999571959853533	55.5	LOPART	2
#000000	56.5	1	56.5	LOPART	2
#000000	57.5	0.999998712888812	57.5	LOPART	2
#000000	58.5	0.999948736514837	58.5	LOPART	2
#000000	59.5	0.999711294485501	59.5	LOPART	2
#000000	60.5	0.99905259513308	60.5	LOPART	2
#000000	61.5	0.999726623564262	61.5	LOPART	2
#000000	62.5	0.998893327750524	62.5	LOPART	2
#000000	63.5	0.999200287693233	63.5	LOPART	2
#000000	64.5	0.999071938533247	64.5	LOPART	2
#000000	65.5	0.998711254556935	65.5	LOPART	2
#000000	66.5	0.999064060329396	66.5	LOPART	2
#000000	67.5	0.999786645635409	67.5	LOPART	2
#000000	68.5	0.999866186766711	68.5	LOPART	2
#000000	69.5	0.999800204218533	69.5	LOPART	2
#000000	70.5	0.999961873561599	70.5	LOPART	2
#000000	71.5	0.99998092708633	71.5	LOPART	2
#000000	72.5	0.999998703791534	72.5	LOPART	2
