colour	x	y	key	showSelectedlegendsizecolour	PANEL
#000000	20.5	0.497997852320423	20.5	LOPART	2
#000000	21.5	0.381453549546983	21.5	LOPART	2
#000000	22.5	0.388988496249217	22.5	LOPART	2
#000000	23.5	0.278969076283262	23.5	LOPART	2
#000000	24.5	0.138244994871615	24.5	LOPART	2
#000000	25.5	0.0773450387378232	25.5	LOPART	2
#000000	26.5	0.252539185731848	26.5	LOPART	2
#000000	27.5	0.278975739213161	27.5	LOPART	2
#000000	28.5	0.331671946788127	28.5	LOPART	2
#000000	29.5	0.334923320758095	29.5	LOPART	2
#000000	30.5	0.0825048147432193	30.5	LOPART	2
#000000	31.5	0.0784823355203782	31.5	LOPART	2
#000000	32.5	0.0744264634040121	32.5	LOPART	2
#000000	33.5	0.0566196751604506	33.5	LOPART	2
#000000	34.5	0.0590271689681295	34.5	LOPART	2
#000000	35.5	0.0611380316404897	35.5	LOPART	2
#000000	36.5	0.0605336071320171	36.5	LOPART	2
#000000	37.5	0.0622110566250272	37.5	LOPART	2
#000000	38.5	0.0623667908227133	38.5	LOPART	2
#000000	39.5	0.0623819676074454	39.5	LOPART	2
#000000	40.5	0.0610572004663485	40.5	LOPART	2
#000000	41.5	0.0576601113951803	41.5	LOPART	2
#000000	42.5	0.0598383317720248	42.5	LOPART	2
