colour	x	y	key	showSelectedlegendsizecolour	PANEL
#000000	0.5	0	0.5	LOPART	2
#000000	1.5	0.987855305966277	1.5	LOPART	2
#000000	2.5	0.993671547675533	2.5	LOPART	2
#000000	3.5	0.999744584456738	3.5	LOPART	2
#000000	4.5	0.997084565469752	4.5	LOPART	2
#000000	5.5	0.995926697985752	5.5	LOPART	2
#000000	6.5	0.996047391596345	6.5	LOPART	2
#000000	7.5	0.998806981006368	7.5	LOPART	2
#000000	8.5	0.997067324890931	8.5	LOPART	2
#000000	9.5	0.999398790483907	9.5	LOPART	2
#000000	10.5	1	10.5	LOPART	2
#000000	11.5	0.999591967367163	11.5	LOPART	2
#000000	12.5	0.996255676633126	12.5	LOPART	2
#000000	13.5	0.998835928596832	13.5	LOPART	2
#000000	14.5	0.999532965823293	14.5	LOPART	2
#000000	15.5	0.996224034780761	15.5	LOPART	2
#000000	16.5	0.992646995350877	16.5	LOPART	2
#000000	17.5	0.997562825096194	17.5	LOPART	2
#000000	18.5	0.992897386199171	18.5	LOPART	2
