colour	x	y	key	showSelectedlegendsizecolour	PANEL
#000000	20.5	0.518547241610366	20.5	LOPART	2
#000000	21.5	0.428585137889441	21.5	LOPART	2
#000000	22.5	0.439064845705107	22.5	LOPART	2
#000000	23.5	0.360616723590696	23.5	LOPART	2
#000000	24.5	0.261856532783851	24.5	LOPART	2
#000000	25.5	0.226197079343708	25.5	LOPART	2
#000000	26.5	0.352476921690916	26.5	LOPART	2
#000000	27.5	0.375991864816891	27.5	LOPART	2
#000000	28.5	0.415938127367363	28.5	LOPART	2
#000000	29.5	0.422807498049559	29.5	LOPART	2
#000000	30.5	0.22354034098619	30.5	LOPART	2
#000000	31.5	0.22206695749835	31.5	LOPART	2
#000000	32.5	0.222194721973804	32.5	LOPART	2
#000000	33.5	0.21772246058764	33.5	LOPART	2
#000000	34.5	0.21773793578807	34.5	LOPART	2
#000000	35.5	0.214995739504121	35.5	LOPART	2
#000000	36.5	0.212860388658456	36.5	LOPART	2
#000000	37.5	0.196723846016043	37.5	LOPART	2
#000000	38.5	0.190959340213284	38.5	LOPART	2
#000000	39.5	0.187647635271423	39.5	LOPART	2
#000000	40.5	0.186299629815985	40.5	LOPART	2
#000000	41.5	0.183298820843007	41.5	LOPART	2
#000000	42.5	0.154609231644597	42.5	LOPART	2
#000000	43.5	0.14379005130855	43.5	LOPART	2
#000000	44.5	0.13792888057704	44.5	LOPART	2
