colour	x	y	key	showSelectedlegendsizecolour	PANEL
#000000	20.5	0.554892948236116	20.5	LOPART	2
#000000	21.5	0.438867604860456	21.5	LOPART	2
#000000	22.5	0.46295359495119	22.5	LOPART	2
#000000	23.5	0.353768081091269	23.5	LOPART	2
#000000	24.5	0.201068699257387	24.5	LOPART	2
#000000	25.5	0.139893639708743	25.5	LOPART	2
#000000	26.5	0.350188898157339	26.5	LOPART	2
#000000	27.5	0.389075746093574	27.5	LOPART	2
#000000	28.5	0.454795313406668	28.5	LOPART	2
#000000	29.5	0.466416603560059	29.5	LOPART	2
#000000	30.5	0.136999590497365	30.5	LOPART	2
#000000	31.5	0.133087375022849	31.5	LOPART	2
#000000	32.5	0.131846700607123	32.5	LOPART	2
#000000	33.5	0.116718764310435	33.5	LOPART	2
#000000	34.5	0.115971451545233	34.5	LOPART	2
#000000	35.5	0.115922646992107	35.5	LOPART	2
