colour	x	y	key	showSelectedlegendsizecolour	PANEL
#000000	45.5	0.487390502593876	45.5	LOPART	2
#000000	46.5	0.505740507375005	46.5	LOPART	2
#000000	47.5	0.499290366732472	47.5	LOPART	2
#000000	48.5	0.494250631856688	48.5	LOPART	2
#000000	49.5	0.487111696169032	49.5	LOPART	2
#000000	50.5	0.46356076092433	50.5	LOPART	2
#000000	51.5	0.4572757552486	51.5	LOPART	2
#000000	52.5	0.494542895829593	52.5	LOPART	2
#000000	53.5	0.492784428400791	53.5	LOPART	2
#000000	54.5	0.514205814277244	54.5	LOPART	2
#000000	55.5	1	55.5	LOPART	2
#000000	56.5	0.990410023159766	56.5	LOPART	2
#000000	57.5	0.980693625601321	57.5	LOPART	2
#000000	58.5	0.984819878515774	58.5	LOPART	2
#000000	59.5	0.989643916904764	59.5	LOPART	2
