xmin	xmax	key	clickSelects	showSelected1	PANEL	group
1	2	1	1	21	2	-1
2	3	2	2	21	2	-1
3	4	3	3	21	2	-1
4	5	4	4	21	2	-1
5	6	5	5	21	2	-1
6	7	6	6	21	2	-1
7	8	7	7	21	2	-1
8	9	8	8	21	2	-1
9	10	9	9	21	2	-1
10	11	10	10	21	2	-1
11	12	11	11	21	2	-1
12	13	12	12	21	2	-1
13	14	13	13	21	2	-1
14	15	14	14	21	2	-1
15	16	15	15	21	2	-1
16	17	16	16	21	2	-1
17	18	17	17	21	2	-1
18	19	18	18	21	2	-1
19	20	19	19	21	2	-1
20	21	20	20	21	2	-1
0	1	0	0	22	2	-1
1	2	1	1	22	2	-1
2	3	2	2	22	2	-1
3	4	3	3	22	2	-1
4	5	4	4	22	2	-1
5	6	5	5	22	2	-1
6	7	6	6	22	2	-1
7	8	7	7	22	2	-1
8	9	8	8	22	2	-1
9	10	9	9	22	2	-1
10	11	10	10	22	2	-1
11	12	11	11	22	2	-1
12	13	12	12	22	2	-1
13	14	13	13	22	2	-1
14	15	14	14	22	2	-1
15	16	15	15	22	2	-1
16	17	16	16	22	2	-1
17	18	17	17	22	2	-1
18	19	18	18	22	2	-1
19	20	19	19	22	2	-1
20	21	20	20	22	2	-1
21	22	21	21	22	2	-1
0	1	0	0	23	2	-1
1	2	1	1	23	2	-1
2	3	2	2	23	2	-1
3	4	3	3	23	2	-1
4	5	4	4	23	2	-1
5	6	5	5	23	2	-1
6	7	6	6	23	2	-1
7	8	7	7	23	2	-1
8	9	8	8	23	2	-1
9	10	9	9	23	2	-1
10	11	10	10	23	2	-1
11	12	11	11	23	2	-1
12	13	12	12	23	2	-1
13	14	13	13	23	2	-1
14	15	14	14	23	2	-1
15	16	15	15	23	2	-1
16	17	16	16	23	2	-1
17	18	17	17	23	2	-1
18	19	18	18	23	2	-1
19	20	19	19	23	2	-1
20	21	20	20	23	2	-1
21	22	21	21	23	2	-1
22	23	22	22	23	2	-1
0	1	0	0	24	2	-1
1	2	1	1	24	2	-1
2	3	2	2	24	2	-1
3	4	3	3	24	2	-1
4	5	4	4	24	2	-1
5	6	5	5	24	2	-1
6	7	6	6	24	2	-1
7	8	7	7	24	2	-1
8	9	8	8	24	2	-1
9	10	9	9	24	2	-1
10	11	10	10	24	2	-1
11	12	11	11	24	2	-1
12	13	12	12	24	2	-1
13	14	13	13	24	2	-1
14	15	14	14	24	2	-1
15	16	15	15	24	2	-1
16	17	16	16	24	2	-1
17	18	17	17	24	2	-1
18	19	18	18	24	2	-1
19	20	19	19	24	2	-1
20	21	20	20	24	2	-1
21	22	21	21	24	2	-1
22	23	22	22	24	2	-1
23	24	23	23	24	2	-1
0	1	0	0	25	2	-1
1	2	1	1	25	2	-1
2	3	2	2	25	2	-1
3	4	3	3	25	2	-1
4	5	4	4	25	2	-1
5	6	5	5	25	2	-1
6	7	6	6	25	2	-1
7	8	7	7	25	2	-1
8	9	8	8	25	2	-1
9	10	9	9	25	2	-1
10	11	10	10	25	2	-1
11	12	11	11	25	2	-1
12	13	12	12	25	2	-1
13	14	13	13	25	2	-1
14	15	14	14	25	2	-1
15	16	15	15	25	2	-1
16	17	16	16	25	2	-1
17	18	17	17	25	2	-1
18	19	18	18	25	2	-1
19	20	19	19	25	2	-1
20	21	20	20	25	2	-1
21	22	21	21	25	2	-1
22	23	22	22	25	2	-1
23	24	23	23	25	2	-1
24	25	24	24	25	2	-1
0	1	0	0	26	2	-1
1	2	1	1	26	2	-1
2	3	2	2	26	2	-1
3	4	3	3	26	2	-1
4	5	4	4	26	2	-1
5	6	5	5	26	2	-1
6	7	6	6	26	2	-1
7	8	7	7	26	2	-1
8	9	8	8	26	2	-1
9	10	9	9	26	2	-1
10	11	10	10	26	2	-1
11	12	11	11	26	2	-1
12	13	12	12	26	2	-1
13	14	13	13	26	2	-1
14	15	14	14	26	2	-1
15	16	15	15	26	2	-1
16	17	16	16	26	2	-1
17	18	17	17	26	2	-1
18	19	18	18	26	2	-1
19	20	19	19	26	2	-1
20	21	20	20	26	2	-1
21	22	21	21	26	2	-1
22	23	22	22	26	2	-1
23	24	23	23	26	2	-1
