colour	x	y	key	showSelectedlegendsizecolour	PANEL
#000000	0.5	0.890576841148557	0.5	LOPART	2
#000000	1.5	0.842916413555732	1.5	LOPART	2
#000000	2.5	1	2.5	LOPART	2
#000000	3.5	0.729537564446114	3.5	LOPART	2
#000000	4.5	0.543465908763127	4.5	LOPART	2
#000000	5.5	0.662592535993672	5.5	LOPART	2
#000000	6.5	0.754768987423894	6.5	LOPART	2
#000000	7.5	0.812438664952452	7.5	LOPART	2
#000000	8.5	0.793769541329596	8.5	LOPART	2
#000000	9.5	0.148096889374436	9.5	LOPART	2
#000000	10.5	0.413860777664428	10.5	LOPART	2
#000000	11.5	0.390410928806855	11.5	LOPART	2
#000000	12.5	0	12.5	LOPART	2
#000000	13.5	0.0771448891567282	13.5	LOPART	2
