colour	x	y	key	showSelectedlegendsizecolour	PANEL
#000000	20.5	0.502074910281188	20.5	LOPART	2
#000000	21.5	0.398386808917335	21.5	LOPART	2
#000000	22.5	0.408834054880858	22.5	LOPART	2
#000000	23.5	0.314865549605405	23.5	LOPART	2
#000000	24.5	0.193978193322125	24.5	LOPART	2
#000000	25.5	0.145580461471738	25.5	LOPART	2
#000000	26.5	0.294385129322961	26.5	LOPART	2
#000000	27.5	0.319385194670078	27.5	LOPART	2
#000000	28.5	0.365992877594026	28.5	LOPART	2
#000000	29.5	0.371122165717674	29.5	LOPART	2
#000000	30.5	0.146037447672302	30.5	LOPART	2
#000000	31.5	0.141207455106688	31.5	LOPART	2
#000000	32.5	0.139443786463455	32.5	LOPART	2
#000000	33.5	0.128353771096911	33.5	LOPART	2
#000000	34.5	0.128658227836924	34.5	LOPART	2
#000000	35.5	0.128730186103407	35.5	LOPART	2
#000000	36.5	0.128722415901052	36.5	LOPART	2
#000000	37.5	0.11978839039151	37.5	LOPART	2
#000000	38.5	0.118120433926589	38.5	LOPART	2
#000000	39.5	0.117684394406164	39.5	LOPART	2
#000000	40.5	0.118094402966314	40.5	LOPART	2
#000000	41.5	0.117683188278363	41.5	LOPART	2
#000000	42.5	0.0934262461166842	42.5	LOPART	2
#000000	43.5	0.0785896079599618	43.5	LOPART	2
#000000	44.5	0.0748428149333084	44.5	LOPART	2
