colour	x	y	key	showSelectedlegendsizecolour	PANEL
#000000	0.5	1	0.5	LOPART	2
#000000	1.5	0.940495548565888	1.5	LOPART	2
#000000	2.5	0.93980416524658	2.5	LOPART	2
#000000	3.5	0.874575477834868	3.5	LOPART	2
#000000	4.5	0.788486541996612	4.5	LOPART	2
#000000	5.5	0.780187951641768	5.5	LOPART	2
#000000	6.5	0.777574212764165	6.5	LOPART	2
#000000	7.5	0.774192211476661	7.5	LOPART	2
#000000	8.5	0.757042291331875	8.5	LOPART	2
#000000	9.5	0.652172275491834	9.5	LOPART	2
#000000	10.5	0.643517053795704	10.5	LOPART	2
#000000	11.5	0.643740354657578	11.5	LOPART	2
#000000	12.5	0.625889344200426	12.5	LOPART	2
#000000	13.5	0.605739497305159	13.5	LOPART	2
#000000	14.5	0.514775563206429	14.5	LOPART	2
#000000	15.5	0.444106304250801	15.5	LOPART	2
#000000	16.5	0.0961322734879924	16.5	LOPART	2
#000000	17.5	0.0965335466840477	17.5	LOPART	2
#000000	18.5	0.0569788452880706	18.5	LOPART	2
#000000	19.5	0.0557043875245926	19.5	LOPART	2
