colour	x	y	key	showSelectedlegendsizecolour	PANEL
#00BFFF	0.5	0.996277715227689	0.5	OPART	2
#00BFFF	1.5	1	1.5	OPART	2
#00BFFF	2.5	0.988975218132414	2.5	OPART	2
#00BFFF	3.5	0.944203772953016	3.5	OPART	2
#00BFFF	4.5	0.948565061113306	4.5	OPART	2
#00BFFF	5.5	0.940015159685067	5.5	OPART	2
#00BFFF	6.5	0.92634154217737	6.5	OPART	2
#00BFFF	7.5	0.899756542077877	7.5	OPART	2
#00BFFF	8.5	0.889871991427112	8.5	OPART	2
#00BFFF	9.5	0.822597706142268	9.5	OPART	2
#00BFFF	10.5	0.813387600641827	10.5	OPART	2
#00BFFF	11.5	0.787359710107722	11.5	OPART	2
#00BFFF	12.5	0.746076338624857	12.5	OPART	2
#00BFFF	13.5	0.735724178413118	13.5	OPART	2
#00BFFF	14.5	0.734654378365125	14.5	OPART	2
#00BFFF	15.5	0.662570450762055	15.5	OPART	2
#00BFFF	16.5	0.667593031201801	16.5	OPART	2
#00BFFF	17.5	0.624828295623847	17.5	OPART	2
#00BFFF	18.5	0.599930513219245	18.5	OPART	2
#00BFFF	19.5	0.543309355929353	19.5	OPART	2
#00BFFF	20.5	0.5014802945657	20.5	OPART	2
#00BFFF	21.5	0.395583940152314	21.5	OPART	2
#00BFFF	22.5	0.390355020614723	22.5	OPART	2
#00BFFF	23.5	0.298855734716201	23.5	OPART	2
#00BFFF	24.5	0.177535647545798	24.5	OPART	2
#00BFFF	25.5	0.13530802444734	25.5	OPART	2
#00BFFF	26.5	0.109493853804892	26.5	OPART	2
#00BFFF	27.5	0.113640359307028	27.5	OPART	2
#00BFFF	28.5	0.114636033573556	28.5	OPART	2
#00BFFF	29.5	0.114059636842857	29.5	OPART	2
#00BFFF	30.5	0.113632998698413	30.5	OPART	2
#00BFFF	31.5	0.111613850988243	31.5	OPART	2
#00BFFF	32.5	0.110893706444498	32.5	OPART	2
#00BFFF	33.5	0.106213904828154	33.5	OPART	2
#00BFFF	34.5	0.108485151137793	34.5	OPART	2
#00BFFF	35.5	0.109491947197706	35.5	OPART	2
#00BFFF	36.5	0.107990225698892	36.5	OPART	2
#00BFFF	37.5	0.0973698326323051	37.5	OPART	2
#00BFFF	38.5	0.0922367789930972	38.5	OPART	2
#00BFFF	39.5	0.089860604352641	39.5	OPART	2
#00BFFF	40.5	0.0901664938083158	40.5	OPART	2
#00BFFF	41.5	0.0885452102623416	41.5	OPART	2
#00BFFF	42.5	0.0647150390731753	42.5	OPART	2
#00BFFF	43.5	0.0563799875916899	43.5	OPART	2
#00BFFF	44.5	0.0525502019879051	44.5	OPART	2
#00BFFF	45.5	0.0567661589273422	45.5	OPART	2
#00BFFF	46.5	0.0448843511523451	46.5	OPART	2
#00BFFF	47.5	0.04823941353486	47.5	OPART	2
#00BFFF	48.5	0.0470836077482524	48.5	OPART	2
#00BFFF	49.5	0.0441771437588711	49.5	OPART	2
#00BFFF	50.5	0.0205379637017849	50.5	OPART	2
#00BFFF	51.5	0	51.5	OPART	2
