colour	x	y	key	showSelectedlegendsizecolour	showSelected1	showSelected2	PANEL	fill
#00BFFF	3.5	0	1	OPART	0.1	4	2	#00BFFF
#00BFFF	4.5	0	1	OPART	0.1	5	2	#00BFFF
#00BFFF	4.5	0	1	OPART	0.1	6	2	#00BFFF
#00BFFF	6.5	0	1	OPART	0.1	7	2	#00BFFF
#00BFFF	7.5	0	1	OPART	0.1	8	2	#00BFFF
#00BFFF	8.5	0	1	OPART	0.1	9	2	#00BFFF
#00BFFF	9.5	0	1	OPART	0.1	10	2	#00BFFF
#00BFFF	10.5	0	1	OPART	0.1	11	2	#00BFFF
#00BFFF	11.5	0	1	OPART	0.1	12	2	#00BFFF
#00BFFF	12.5	0	1	OPART	0.1	13	2	#00BFFF
#00BFFF	13.5	0	1	OPART	0.1	14	2	#00BFFF
#00BFFF	14.5	0	1	OPART	0.1	15	2	#00BFFF
#00BFFF	15.5	0	1	OPART	0.1	16	2	#00BFFF
#00BFFF	16.5	0	1	OPART	0.1	17	2	#00BFFF
#00BFFF	17.5	0	1	OPART	0.1	18	2	#00BFFF
#00BFFF	18.5	0	1	OPART	0.1	19	2	#00BFFF
#00BFFF	19.5	0	1	OPART	0.1	20	2	#00BFFF
#00BFFF	20.5	0	1	OPART	0.1	21	2	#00BFFF
#00BFFF	21.5	0	1	OPART	0.1	22	2	#00BFFF
#00BFFF	22.5	0	1	OPART	0.1	23	2	#00BFFF
#00BFFF	22.5	0	1	OPART	0.1	24	2	#00BFFF
#00BFFF	24.5	0	1	OPART	0.1	25	2	#00BFFF
#00BFFF	25.5	0	1	OPART	0.1	26	2	#00BFFF
#00BFFF	26.5	0	1	OPART	0.1	27	2	#00BFFF
#00BFFF	27.5	0	1	OPART	0.1	28	2	#00BFFF
#00BFFF	28.5	0	1	OPART	0.1	29	2	#00BFFF
#00BFFF	29.5	0	1	OPART	0.1	30	2	#00BFFF
#00BFFF	28.5	0	1	OPART	0.1	31	2	#00BFFF
#00BFFF	28.5	0	1	OPART	0.1	32	2	#00BFFF
#00BFFF	32.5	0	1	OPART	0.1	33	2	#00BFFF
#00BFFF	33.5	0	1	OPART	0.1	34	2	#00BFFF
#00BFFF	34.5	0	1	OPART	0.1	35	2	#00BFFF
#00BFFF	34.5	0	1	OPART	0.1	36	2	#00BFFF
#00BFFF	36.5	0	1	OPART	0.1	37	2	#00BFFF
#00BFFF	37.5	0	1	OPART	0.1	38	2	#00BFFF
#00BFFF	37.5	0	1	OPART	0.1	39	2	#00BFFF
#00BFFF	38.5	0	1	OPART	0.1	40	2	#00BFFF
#00BFFF	38.5	0	1	OPART	0.1	41	2	#00BFFF
#00BFFF	41.5	0	1	OPART	0.1	42	2	#00BFFF
#00BFFF	42.5	0	1	OPART	0.1	43	2	#00BFFF
#00BFFF	43.5	0	1	OPART	0.1	44	2	#00BFFF
#00BFFF	44.5	0	1	OPART	0.1	45	2	#00BFFF
#00BFFF	45.5	0	1	OPART	0.1	46	2	#00BFFF
#00BFFF	46.5	0	1	OPART	0.1	47	2	#00BFFF
#00BFFF	46.5	0	1	OPART	0.1	48	2	#00BFFF
#00BFFF	46.5	0	1	OPART	0.1	49	2	#00BFFF
#00BFFF	49.5	0	1	OPART	0.1	50	2	#00BFFF
#00BFFF	50.5	0	1	OPART	0.1	51	2	#00BFFF
#00BFFF	51.5	0	1	OPART	0.1	52	2	#00BFFF
#00BFFF	52.5	0	1	OPART	0.1	53	2	#00BFFF
#00BFFF	53.5	0	1	OPART	0.1	54	2	#00BFFF
#00BFFF	54.5	0	1	OPART	0.1	55	2	#00BFFF
#00BFFF	55.5	0	1	OPART	0.1	56	2	#00BFFF
#00BFFF	56.5	0	1	OPART	0.1	57	2	#00BFFF
#00BFFF	57.5	0	1	OPART	0.1	58	2	#00BFFF
#00BFFF	57.5	0	1	OPART	0.1	59	2	#00BFFF
#00BFFF	59.5	0	1	OPART	0.1	60	2	#00BFFF
#00BFFF	60.5	0	1	OPART	0.1	61	2	#00BFFF
#00BFFF	61.5	0	1	OPART	0.1	62	2	#00BFFF
#00BFFF	62.5	0	1	OPART	0.1	63	2	#00BFFF
#00BFFF	63.5	0	1	OPART	0.1	64	2	#00BFFF
#00BFFF	63.5	0	1	OPART	0.1	65	2	#00BFFF
#00BFFF	65.5	0	1	OPART	0.1	66	2	#00BFFF
