colour	x	y	key	showSelectedlegendsizecolour	PANEL
#000000	45.5	0.637034665796764	45.5	LOPART	2
#000000	46.5	0.63645570844983	46.5	LOPART	2
#000000	47.5	0.636440502719527	47.5	LOPART	2
#000000	48.5	0.636358484126099	48.5	LOPART	2
#000000	49.5	0.636302479389771	49.5	LOPART	2
#000000	50.5	0.636544095911483	50.5	LOPART	2
#000000	51.5	0.636389945928768	51.5	LOPART	2
#000000	52.5	0.635129544731294	52.5	LOPART	2
#000000	53.5	0.634767014276724	53.5	LOPART	2
#000000	54.5	0.633391600953747	54.5	LOPART	2
#000000	55.5	0.997787906677185	55.5	LOPART	2
#000000	56.5	0.999465889733927	56.5	LOPART	2
#000000	57.5	0.998715882082175	57.5	LOPART	2
#000000	58.5	0.996251587435211	58.5	LOPART	2
#000000	59.5	0.993252826484305	59.5	LOPART	2
#000000	60.5	0.989085963385173	60.5	LOPART	2
#000000	61.5	0.990586313152058	61.5	LOPART	2
#000000	62.5	0.985574841960633	62.5	LOPART	2
#000000	63.5	0.985153077658982	63.5	LOPART	2
#000000	64.5	0.983107506894468	64.5	LOPART	2
#000000	65.5	0.980295061446277	65.5	LOPART	2
#000000	66.5	0.979840081066259	66.5	LOPART	2
#000000	67.5	0.981416727637779	67.5	LOPART	2
#000000	68.5	0.980157771145842	68.5	LOPART	2
#000000	69.5	0.977768478605871	69.5	LOPART	2
#000000	70.5	0.977068008261425	70.5	LOPART	2
#000000	71.5	0.976319057498129	71.5	LOPART	2
#000000	72.5	0.973069776835839	72.5	LOPART	2
#000000	73.5	0.970532515747941	73.5	LOPART	2
#000000	74.5	0.966580327608167	74.5	LOPART	2
#000000	75.5	0.963388000326125	75.5	LOPART	2
#000000	76.5	0.968381181256333	76.5	LOPART	2
#000000	77.5	0.96849963789304	77.5	LOPART	2
#000000	78.5	0.96959780591538	78.5	LOPART	2
#000000	79.5	0.969997699596923	79.5	LOPART	2
#000000	90.5	0.992017014400471	90.5	LOPART	2
#000000	91.5	0.990764828412128	91.5	LOPART	2
#000000	92.5	0.989066471137998	92.5	LOPART	2
#000000	93.5	0.991789604092553	93.5	LOPART	2
#000000	94.5	0.994564395025642	94.5	LOPART	2
#000000	95.5	0.997246871231901	95.5	LOPART	2
#000000	96.5	0.999259732205916	96.5	LOPART	2
#000000	97.5	0.997747978827756	97.5	LOPART	2
#000000	98.5	0.998290138395244	98.5	LOPART	2
#000000	99.5	1	99.5	LOPART	2
